Id,Brand,Product,Quantity,Price,MRP,rebate,stock,Category,image_small
1,Morison Baby Dreams,Bib - Car Printed,1 pc ,106,125,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40196488_1-morison-baby-dreams-bib-car-printed.jpg
2,Bella,Cotton Cosmetic Balls,100 pcs Pouch,123,129,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/100283317_6-bella-cotton-cosmetic-balls.jpg
3,Bodyguard,Premium Baby Wet Wipes With Aloe Vera - Paraben Free,72 Pulls  ,91,125,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40125230_7-bodyguard-premium-baby-wet-wipes-with-aloe-vera-paraben-free.jpg
4,Bella,Baby Happy Tissues,9 pcs (Pack of 10),142,150,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40189889_1-bella-baby-happy-tissues.jpg
5,Vauva,Easy Feeding Bowl With Spoon,1 pc ,132,155,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40131712_1-vauva-easy-feeding-bowl-with-spoon.jpg
6,Vauva,Baby Water Teether For Cool Gums,1 pc ,128,150,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40195209_1-vauva-baby-water-teether-for-cool-gums.jpg
7,Dimpu Poop-Cee,Baby Tumbler - Sippy,180 ml ,123,145,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40132295_1-dimpu-poop-cee-baby-tumbler-sippy.jpg
8,Vauva,Silicone Feeding Nipple/Teat Regular Neck - Size L,2 pcs ,150,150,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40195200_1-vauva-silicone-feeding-nippleteat-regular-neck-size-l.jpg
9,Colgate,"Kid's Toothpaste - 3-5 years, Natural Strawberry Flavour, 0% Artificial",80 g Tube,135,150,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40179842_2-colgate-kids-toothpaste-3-5-years-natural-strawberry-flavour-0-artificial.jpg
10,Colgate,"Kid's Toothpaste - 6-9 Years, Natural Strawberry Mint Flavour, 0% Artificial",80 g Tube,135,150,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40179843_2-colgate-kids-toothpaste-6-9-years-natural-strawberry-mint-flavour-0-artificial.jpg
11,Mee Mee,Finger Brush With Storage Case - Green,0.02 g ,127,129,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40157004_2-mee-mee-finger-brush-with-storage-case-green.jpg
12,Himalaya Baby,Baby Soap - Gentle  4X75 Gm,300 g Buy 3 Get 1 Free,120,150,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40110176_7-himalaya-baby-baby-soap-gentle-4x75-gm.jpg
13,Johnson's baby,Baby Care Collection - with Organic Cotton Bib,3 pcs ,125,125,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40092184_2-johnsons-baby-baby-care-collection-with-organic-cotton-bib.jpg
14,Manna ,"Baby Food with Sprouted Grains - Ragi Rich, 6+ Months, Rich in Vitamins & Minerals, No Milk",200 g Carton,129,129,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40001249_3-manna-baby-food-with-sprouted-grains-ragi-rich-6-months-rich-in-vitamins-minerals-no-milk.jpg
15,Himalaya Baby,Baby Massage Oil,100 ml ,87.2,100,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/20002827_7-himalaya-baby-baby-massage-oil.jpg
16,Dabur,Baby Shampoo - With No Harmful Chemicals & Tear Free Formula,200 ml  ,105,150,40,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40202321_1-dabur-baby-shampoo-with-no-harmful-chemicals-tear-free-formula.jpg
17,Himalaya,Baby Hair Oil,100 ml  ,104.25,125,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40193885_1-himalaya-baby-hair-oil.jpg
18,Johnsons,Baby Cottontouch Newborn Massage Oil,100 ml ,112.5,125,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40200712_2-johnsons-baby-cottontouch-newborn-massage-oil.jpg
19,BIOTIQUE,Dinsey Baby - Bio Almond Oil Mickey Massage Oil,200 ml ,119.28,150,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40120540_7-biotique-dinsey-baby-bio-almond-oil-mickey-massage-oil.jpg
20,Mee Mee,Nourishing Baby Oil With Fruit Extracts,100 ml ,112.49,129,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40157148_1-mee-mee-nourishing-baby-oil-with-fruit-extracts.jpg
21,Johnson's baby,Baby Cream,100 g ,142.5,145,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/260995_10-johnsons-baby-baby-cream.jpg
22,Johnson's baby,Baby Milk Lotion,100 ml ,100,100,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/261007_11-johnsons-baby-baby-milk-lotion.jpg
23,Johnsons,Baby Cottontouch Newborn Lotion,100 ml  ,124.5,150,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40200710_2-johnsons-baby-cottontouch-newborn-lotion.jpg
24,BIOTIQUE,Bio Aloe Vera Baby Sun Block SPF 20 UVA/UVB Sunscreen - 6 Months Or Older,50 ml ,122.8,155,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40099579_4-biotique-bio-aloe-vera-baby-sun-block-spf-20-uvauvb-sunscreen-6-months-or-older.jpg
25,Mamaearth,Deeply Moisturising Baby Lotion,100 ml ,124.25,125,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40192872_2-mamaearth-deeply-moisturising-baby-lotion.jpg
26,The Moms Co,Natural Baby Soothing Relief Wash + Body Lotion,200 ml + 150 ml ,1018.3,1198,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40179891_4-the-moms-co-natural-baby-soothing-relief-wash-body-lotion.jpg
27,Johnson's baby,Buds,75 Stems/150 Swabs  ,83,100,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/264003_12-johnsons-baby-buds.jpg
28,Colgate,"Kid's Toothpaste - 0-2 years, Natural Fruit Flavour, Fluoride Free, 0% Artificial",70 g Tube,104.52,150,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/40179841_2-colgate-kids-toothpaste-0-2-years-natural-fruit-flavour-fluoride-free-0-artificial.jpg
29,Nestle ,"Nestum Baby Cereal - Rice, From 6-12 Months, Source of Zinc & Selenium, No Added Preservatives",300 g Bag,150,150,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/240183_5-nestle-nestum-baby-cereal-rice-from-6-12-months-source-of-zinc-selenium-no-added-preservatives.jpg
30,Johnson's baby,Baby Powder - Blossoms,200 g ,155,155,0,100,baby care,https://www.bigbasket.com/media/uploads/p/l/280947_8-johnsons-baby-baby-powder-blossoms.jpg
31,Pril,"Dishwash - Kraft, Perfect Active 2x",425 ml Bottle ,100,100,0,50,cleaning household,https://www.bigbasket.com/media/uploads/p/l/40096523_5-pril-dishwash-kraft-perfect-active-2x.jpg
32,Hindalco,Freshwrapp - Aluminium Foil,50 g Carton,100,100,0,50,cleaning household,https://www.bigbasket.com/media/uploads/p/l/267668_1-hindalco-freshwrapp-aluminium-foil.jpg
33,Spark,Cloth Clip,12 pcs ,79,100,0,50,cleaning household,https://www.bigbasket.com/media/uploads/p/l/40109731_1-spark-cloth-clip.jpg
34,Pidilite,Motomax Protectant Spray,100 ml ,100,100,0,50,cleaning household,https://www.bigbasket.com/media/uploads/p/l/40087837_2-pidilite-motomax-protectant-spray.jpg
35,Apsara,"Long Point Sharpener - Durable, Easy Grip",20 pcs ,98,100,0,50,cleaning household,https://www.bigbasket.com/media/uploads/p/l/40010703_1-apsara-long-point-sharpener-durable-easy-grip.jpg
36,Princeware,"Bathing/Cleaning Bucket - Blue, New Frosty",5 L ,69,100,0,50,cleaning household,https://www.bigbasket.com/media/uploads/p/l/40135050_4-princeware-bathingcleaning-bucket-blue-new-frosty.jpg
37,Super Star,Match Box,1 pc ,10,10,0,50,cleaning household,https://www.bigbasket.com/media/uploads/p/l/40063180_2-super-star-match-box.jpg
38,Cycle,Agarbathi Lia - Jasmine Incenses Sticks,235 g (151 Sticks) ,100,100,0,50,cleaning household,https://www.bigbasket.com/media/uploads/p/l/60000327_3-cycle-agarbathi-lia-jasmine-incenses-sticks.jpg
39,Mortein,2-In-1 Insect Killer Spray - 100% Kill On Mosquitoes & Cockroaches,250 ml ,95,103,0,50,cleaning household,https://www.bigbasket.com/media/uploads/p/l/40134276_5-mortein-2-in-1-insect-killer-spray-100-kill-on-mosquitoes-cockroaches.jpg
40,Good Morning,Bed Bug Killer Powder,14 g ,100,100,0,50,cleaning household,https://www.bigbasket.com/media/uploads/p/l/40180819_4-good-morning-bed-bug-killer-powder.jpg
